title,label
tonton isi lead guitar nya coldiac,0
ini dulunya,1
orang kayak pelit,0
bikin lipstik racik,0
akibat sok jago selang komando layang,1
gara gara makan,0
larang bocah cilik,1
adegan beladiri,0
usaha,0
nikmat makan siang sederhana,0
latih air nalar ,1
butuh wendi ayu cari om om kerja keras lapor,0
kipas angin aneh,1
hatihatilah kendara,0
wawancara ekor kucing arab madina tekan sih wkkwk,0
tawar coklat orang random,0
tebak bendera,0
takluk hati emak,0
lucu,0
kerjain,0
gawat  filter mie goreng,1
wardah colorfit perfect glow cushion new teardrop puff,0
gus iqdam baru curhatan mbak fitri janda muda,0
pancing ikan kerapu pancing canggih,1
tebang pohon iblis ajar episode,1
rebut ayun atap rumah,0
ratu lebah ulah itakimo bal,1
bikin sambal rujak,0
siwak bikin gigi bersih,0
colok aman ya bu tutup dalam,0
main petak umpet magrib,1
definisi laki laki pandang fisik pasang nya ,0
maskerin lia biar glowing,0
laura official trailer,0
seblak versi anak sekolah,0
ajar,0
burung jahat dunia,1
spill bando,0
sundul ronaldo,0
ini alas nathan tjoe nendang bola penalti,1
joko pals cari arti pertemenan part episode,0
optimus prime megatron collab transform bareng,0
dihadang sapi,0
kolam ini seram ,1
sedih kucing betina,0
best muslim juang,0
manusia lumpur mandi bola sungai,0
sakti inti menang,1
cici tonton film mas bule bioskop,0
ajar gaya salto,0
makan permen,1
definisi kerja,0
joyce amuk lempar gayung kaca truck macan madura,1
biar cece sedih,0
suara burung keri sangka,1
wujudin impi ellea,0
eksperimen modifikasi sepeda stang remote mobil main,1
coba spil alam main ikan cupang tarik konten,0
suasana acara pisah sekolah ,0
main aramsamsam malam,0
part main dakocan,0
megatron serang kucing,1
besok vlog nya tayang ya guys,0
ita suruh ganti,0
nostalgia main masak masakan,0
kisah ernando ari tipu emiliano martinez,1
doa ibu susul hidayah amin,0
trauma,1
backsound gitar mail sepeda,0
lia tempel muluu gw,0
tali mahal dunia,1
suruh jaga jaga,0
karma orang curang,1
bagong ekspresi salto,1
fabio asher mahir luka official musik video,0
rebut kentang papinyaa,0
salah ambil uang,0
mancing pakai kapal rc,0
kakak kue ulang adik,0
alergi mandi lumpur,1
peri ajaib ubah apa emas klara tania,1
cece muntah,1
naf tinggal pulang,0
kalah gue panco,0
minum indomaret ini bikin bule muntah,1
bikin kolam slime besar jatuh bareng jessica part,1
salam binjai,0
indah dakwah aji ning umi laila,1
nabila taqiyyah lolong official musik video,0
ya wak goreng,0
frost diamond galau tolak frost merah muda awto menang curi mobil,1
kue nya bikin merinding,1
tukar mie mentah mie warung,0
tebak gaya nurrayni,0
tijjani reijnders tolak indonesia,1
kue bakar,1
rahasia super bear adventure,1
trailer nikah jekho tante tia,0
kunjung pabrik vinfast,0
sesal banget makan sini,1
beli mangga mekar bawa hayuyuyuuu kuliner,0
samantha menang kejer tinggal mobil,0
getar sembuh surup,1
tuang air,0
happy asmara menang main games lirik lamun,0
ide masak jumat berkah ep,0
shanna shannon hilang ost ranjang official lyric video,0
coba beli coblos lotre warung main jaman sekolah dasar dulu,0
nyoman paul mundur perlahan official musik video,0
leika tompel bikin slime lantai viral,1
shock banget lihat motor abang kurir dubai dapat guys wkwk,1
azka pilih makan floaty snack,0
kirim dokumen kantor parcel mudah layan bb grab ovo,0
rate ganteng vinfast vf,0
bus thailand kayak klara tania,1
kepala copot klara tania,1
meiska badut official lyric video,0
mama belikan kotak pensil ,0
makan keju,0
telur keong siksa gagal tetas,1
uni tanding,1
basmi sarang tawon,0
lirik lagu disc jockey faja cover boboiboy,0
mie pokemon rebut cece,0
salma salsabil official musik video,0
gagal restorasi jetbus bekas,1
unboxing mobil remot,0
tampil koreografi baik fan sepak bola penjuru dunia,1
bernadya official video,0
cicak suka sop buah,1
hilang rossa mario feat brisia jodie cover live session loud line musik,0
ini akibat usik tenang anaconda istirahat,1
main mesin capit handphone iphone,1
ganti warna rambut pt,0
moga kak direy teman teman baitullah amin,0
puding toi toi langka,1
pok ame cilukba lagu anak favorit baru,0
restianade ldr,0
pargoy poison,0
hancur kaleng makan kucing buang ,1
rafie pamer handphone,0
asmr isi kulkas tok tok part,0
balon lagu anak indonesia balita,0
bismillah kunfayakun  sep apa usaha laris ayat ini moga berkah,1
bocah cilik potong mulut nakal kaleb andri,1
iming iming karaoke koplo nada wanita rita sugiarto versi cinta bojone orang,0
nama orang tua,0
ayu amanda ft roby gensuz calon bupati official musik video,0
prajurit kopassus hilang nyawa panglima murka,1
perang ini menit,1
drama keysha afsheena jual buah kenal nama buah buah,0
vlog ulang vilmei  klara tania,0
maulana ardiansyah pisah ujung jalan live suka reggae sayup sayup ku dengar,0
ya datang tungguin vlog youtube,0
bocah cilik main outbond jembatan ayun rumah mini,0
kalah aftershine ft tadeus lavora fafa vadesta,0
cerita ruang autopsi,0
pergi meeting nyaman layan bb grab ovo,0
suci,0
kalah duel kepala sniper idf tembus peluru panas al quds langsung ambruk sembunyi,1
trio cabe sasar sidang,0
main robot anti gravitasi iya jatuh ya,1
cipta manusia super,1
primadona,0
sumala anak kembar iblis hasil sugih,1
ini cari,1
juru bicara episode,0
induk kucing menang hilang anak anak ,1
putri isnari menang pingsan gara gara nyanyi lagu ini,1
orang orang tempel permen karet,1
renang jauh hiu ,1
pukul laba laba ,1
curi masuk akal hasil bawa kabur uang berat ton,1
kuliner bareng orang korea,0
partai demokrasi indonesia juang gibran lantik wakil presiden tim hukum prabowo presiden,1
samundar,0
sus rezeki nomplok,1
hitung angka anak ayam cocomelon lagu anak moonbug kids indonesia nursery rhymes,0
pegang tangan,0
asih sukses,0
pria ini temu lubang misterius,1
milik anjing ini laku layak ratu,1
inovasi kerja bangun ini layak tiru,1
baqraeid  potong sapi wadidau prosess potong sapi simolasi idulidha cowok cartoon,0
mas kartu debit isi,1
cari bantu toilet gelembung ,1
tohir laku santet,1
montir handal,1
saddam hussein beliau eksekusi,1
gue rem pakai sendal tantang,0
dibantuin mas eross wkwk live saloka fest semarang,0
tes jujur,0
bikin indomaret rahasia,1
zee fadli bapak,0
bocah cilik kaget,0
suami orang indonesia,0
pilot pesawat darurat,1
vilmei ajar tenun badui bareng rumsyah,0
unik kambing ini bersih tubuhnnya parasit,1
buaya darat,0
sedak makan korea ini,1
paus orca sahabat bocah cilik klara tania,0
prily kerjain lil roy tertawa,0
ini makan ,1
orang jepang main sekolah laskar pelangi,0
part randika doa kak ds celaka,0
ustaz adi hidayat,0
gue malu gue bilang,0
lord adik inoen sepele,0
nenek suka minum yakult,0
meja kayu merah,0
alat stempel tempel stiker,0
drama aletha lepas lakban sepatu,0
tim makan kulit ayam,0
ragnar oratmangoen rafael struick,1
eksperimen sabun sayang mama,1
proses ambil telur ikan kaviar,0
bangga dengar suara kenalpot buat haha,0
belikan masak masakan nurrayni,0
thom haye pindah klub prancis,1
bawa indomie haidilao,0
syifa mantan adam baku hantam,1
bocah cilik gaakan ku belikan ini,1
larang ronaldo patuh anak,1
dah tua asyik antik penuh risiko,0
lo kue terbang,1
order menu favorit seblak,0
azka zan cari uang pakai topeng gatotkaca barongsai,0
day life kebun binatang jepang,0
lupa bikin tugas rajin nurrayni,0
lika liku hamil mudik,0
buat roti sourdough,0
part unik supraman part,1
makan juta,1
makan peach pineapple mandarin orange rambutan kaleng,0
cat rambut lets gooo part,0
anak alami fase ini,1
patung naga panjang indonesia panjang thailand,1
beli es jeruk mesin rasanyaaaaaaaa,1
kue bongkar sih,1
ustaz kewalahan usir setan tubuh pasien nya,1
anjing ini bawa kejut duga milik pulang main ,1
kakak senang hati mama,0
belanjain slebew,0
latih balap bandung ocktane racing school,0
main aneh dunia,1
pulang,0
coba transformation chamber alat ajaib bikin ubah bentuk,1
topeng ini tiru wajah manusia mirip ,1
ide cemerlang,1
episode evan suruh cuci piring,0
keju mozzarella bufala,0
untung pakai dukun,1
moga hasil,0
tsunami,1
tukar telur martabak telur,0
pria kocak bumi,1
patung ayam harga milyar klara tania,1
kakak buat adik sepeda becak,0
sosis spageti jumbo,0
mandi sungai,0
anggis devaki jatuh rapuh official musik video,0
kakak tantang main basket,0
hamil anak sekolah dasar,0
selamat ulang yuka chan,0
bikin bendera negara uruguay part,0
tradisi nikah unik adat thailand   ,1
kakak bikin alat senapan hadiah,0
makan serba milo part,0
delman lagu anak indonesia balita,0
durian main siswi lucu,0
hindar makhluk ini pantai ,1
laku ini kulit kuku kelupas ,1
tahan nafas foto bagus umbul ponggok,0
cuba masakan,0
keluarga makan mochi palsu,1
makan menu reddog,0
susah minum,0
demam,0
kakak buat adik payung putri raja,0
bikin slime pompompurin rumah,0
remix video musik favorit coba,0
air terjun palsu,1
sholawat tarik rezeki dahsyat sholawat nabi muhammad saw salawat jibril merdu,1
kursi bakso kuat adu kali iya,1
kampung setan khw part,1
target ikan baramundi,0
makan serba kfc,0
makan varian yupi,0
israel bahaya drone senyap hizbullah selinap jantung militer zionis,1
makan latiao wulama makan ringan,0
sen masuk akal,1
nathan salting aurelie,0
episode evan sayang adik,0
drama sesi kualifikasi,0
trio muazin bawa azan kurdi beda versi makkawi mandarin part,0
woilaaah dance bareng mal,0
condrosimo deh hakims,0
leika slime viral leika tompel bikin slime kolam besar lantai,1
gratis analisis kulit rekomendasi skincare garnier skincoach ai,1
nikah bordir roma kontra ribet episode,0
lari temu awan ini ,1
livin kredit milik rumah,0
challange azan kurdi suara bikin bengek,1
lintah isap darah manusia,1
lotre tari apes benang pendek sih,0
mukbang kg daging steak mahal dims meat guy,1
sangka sakit ini ya guys ya hihi,1
flush toilet buka ,1
gelitikin hewan ini ,1
murah banget telur rupiah perak,1
kawin ayam telur,1
knalpot harga seblak,1
makan jeruk balon,1
serah boiyen deh,0
suami sakit kasihan sembuh,0
tes bahasa sunda,0
es krim semangka adik,0
trik rahasia  tulis gambar realistis,1
ronaldo pergi,1
hidup glem sih iron golem,0
bikin video botol air viral,1
kucing bingung,0
anak kucing ayah,0
jembatan greget dunia ,1
solusi kebelet pipis jalan,1
guyon bah ulis,0
es krim nurrayni,1
selamat ular kobra sumur bahaya ya,1
momen sedih gol teman tim pulang ,1
kiper lengket kayak permen karet,0
warga negara uni soviet angkasa sergei krikalev,1
main darah indonesia euro,1
mukbang emoji warna merah putih makan sabun,1
main salju wkwk viral banget nih,1
senang,1
sih gendut main pianika suka suka angklung,0
belanja buah minggu ojok tuman ya ncess mau jepang,0
bunga bunga taman,0
ikan sayang,0
proses potong keju benang,0
orang,0
suasana kereta jaman,0
jajan mama incess ,0
susanti bawa spesial indonesia hadiah mri,0
kasihan alin,0
nyawa taruh sc,1
lukis lipstik,0
ronaldo lawan messi lawan salah,0
lagu buat serta idol beli ahmad dhani,1
tari indang cantik,0
pria ini samar mesin atm palsu esterviona,1
oh god ular masuk rumah bestie,1
buru hewan pantai,0
sholawat jibril tarik rezeki dahsyat sholawat nabi muhammad saw sholawat jibril merdu,1
dengar malam ini sholawat nabi sholawat jibril mustajab tarik rezeki arah,1
neo nakal tidur iya neo babybus bahasa indonesia,0
jual es buah asap,0
kamar kotor banget,1
tebak buah kering ursnacks,0
potret nasha anaya anak cantik pasha ungu,1
david bayu royco present gurih gurih mantap,0
frisian flag susu uht nutrisi nikmat dukung energi,0
aura,0
tren farel prayoga vania latifa mimpi,1
tantang main angklung,0
anak non muslim nikah anak muslim yuk tonton habis,0
blackhole besar universe,1
cristiano ronaldo bikin youtube langsung puluh juta lihat,1
teman main petak umpet nyumputnya,0
kangen jajan sekolah dasar kayak cari,0
orang tua ustad,0
musim,0
rumah anti mainstream,1
salah mobil ini,1
adik beli main ikut bocah cilik hantu,1
kg lemak musnah olahraga jaga pola makan,1
aletha abew tidur,0
malaikat maut nongkrong plang jalan tol,1
asia orang eropa cosplay,1
ikan salmon,0
meja dapur keramik,0
inap rumah teman bawaanya tertawa mulu receh,0
eh,1
selesai acara tunggu lobi,1
bantu polisi tangkap laku jahat jalan aman tertib masyarakat yoyakarta,0
semangka banget,1
push indonesia push tembok cina,0
live reaction andis ketemu ular lapor,1
aletha suapin abew makan,0
yel yel gerak jalan regu mi al fatah ulang ri,0
mas ganggu meqiyanti rendy haha,0
indonesia kalah argentina,1
medy renaldy ketemu iron man dunia nyata,1
inap rumah teman berisik mustahil,0
tren gabung,0
tarik tambang,0
marah diketawain teman naruto,1
kue merah putih,0
sentuh banget pesan jessica el barack,1
aletha masak papoy,0
aletha abew beli roti mal,0
miniatur rumah realistis ,0
mas anang shock serta idol krisdayanti,1
kaleb tanda official lyric video visualizer,0
putri iblis samar manusia klara tania,1
tampak petir keri,1
kucing laku malam,0
pesawat aneh,1
perempuan gampang goda,0
kejar zombie stasiun kereta part,1
suka farel prayoga zultan ,0
haymin ajar angkat sepeda mtb,0
adik takut farel prayoga,0
kali ini seriuss hasil,1
coba tanghulu bareng chello makan yuk,0
proses buat arak ular vietnam,1
bikin bando manik manik,0
teori hewan,1
beli slime nya,0
recook cumi laut pedas,0
tjxkz version,0
menit rumah pohon bakar,1
kolam renang afdal balap renang,0
sangka undang presiden ,1
baby yoona oceh,0
lawan,0
raissa ramadhani laura official video ost laura film,0
hujan ini juta,1
nih main tembak kayu triplek part,0
guru pilih tugas upacara agustus,0
adik bestie takut sekolah deh,0
ide sepeda hias lomba nih teman,0
mama feli tahu pakai tas palsu,0
tasyi athasyia gelontor miliar rupiah pesta mewah ulang ibunda,1
parfum ribu wangi mewah parfum merek,1
stop tanamin bibit benci ini anak,1
kiper gila sejarah sepak bola rok lapang,1
agustus core part,0
diy main horor tangan kardus jalan play night,1
pagi pagi sarap rujak,0
kue ini bikin customer protes,1
prank stroberi mentah,1
cari labubu negeri ,1
sesal ajak yuka chan ini,1
kolam renang balap renang main balap cari koin,0
pandai hujat tau hasil,0
kuhp kasih uang hilang perkara,1
selamat jalan melon,0
praz teguh aju syarat khusus pwk rekrut host,0
official trailer sumala tayang bioskop september,0
eno smaper atta halilintar main vertical video,0
pocong merah putih main petak umpet,1
untung,0
tetangga belanja warung barbie jawa,0
ikan mudah,0
rizwan fadilah bicara official lyric video,0
ajar sesat denny sumargo,1
borong es krim mixue gayung habis ,1
yovie widianto hivi semenjak diri official musik video,0
tahan tawa part,0
makan mochi mochio sesuai emoji,0
percaya,0
papa biel ubah nakal,0
tahan tawa part,0
anak ayah,0
lirik lagu cinta gizi,0
prank suara fals ngakak,1
untung hidup jalan bernadya pop punk cover boedak korporat,0
sal priadi gala bunga matahari official musik video,0
nisa jual rujak,0
paket misterius joybox slime ,1
diamond painting cerita alas papa jauh,0
donat hilang,0
mulia erti kasihan,0
panas debat sengit adi lawan silfester indonesia,1
nikah cowok ,1
respect teknisi magelang teknisi indonesia gelar baik dunia,1
kg kulit ayam laris hari,1
doctor,0
tampak naga dunia nyata,1
lawan kulit kering kusam swipe moisturizer baru garnier,1
fauzana tungkek mambaok rabah official musik video,0
lengkap penuh janggal ditje budiarsih,1
jayanti shinta gisul live dangdut lembayung musik wanci burit surya rek pamit,0
viral bocah tewas tang tiri temu krun curhat bang,1
farel prayoga ya dek ya official musik video fan page musik,0
shinta arsinta ciinan bana sagita djandhut assololley dangdut official musik video,0
dbd indonesia tbag main gitar killer,0
kun fayakun putar ayat ini insyaallah sakit langsung sembuh total,1
ayat kursi usir setan jin ayat kursi antar tidur tenang hati pikir merdu,1
tolong pamrih kontra ribet episode,0
kang ojek online nyanyi lagu pop unjung joget ubah valdy nyonk,0
tuduh nih mr tessy,0
makan meter mochi  kaget,1
sasya arkhisna ft ageng musik lampias official live musik,0
seram nih orang ngomong  lawan rezim bicara puas refly harun,1
remaja sulawesi hilang temu gua,1
teletubbies bahasa indonesia peluk kartun lucu anak anak high definition,0
bigheru ft ghinta kari ciinan bana official musik video,0
baby yoona coklat,0
wendy walters jerome jalan bareng reza arap shock qorygore finish  vidi,1
tonton gabut,0
teman khw part susul,0
leika tompel tolongin ayah jebak penjara hasil ya,1
kepiting besar dunia giant alas crab nanakoot,1
pergi waterpark atlantis ancol,0
inap kapal pesiar meissie vilmei klara tania cici korea mal dalem kapal,1
kijang innova zenix hev nyaman jalan keluarga,0
benci allah indonesia hancur aneh,1
ini toman besar pelihara usia,1
album denny caknan baru judul sigar wirang ldr lagu jawa baru,0
coba coba makan apel kebun ini andy si apple farm,1
disc jockey melody spectre saleho terima kasih midle mbedil bass bleyer bongobarbar,0
rakit main truk kontainer rusak,0
cari tinggal indonesia timor leste cristo rei pusat budaya indonesia kbri dil ,0
tanda lahir kupu kupu bahu,0
temu berlian sungai,1
lomba karokean kontra ribet episode,0
ustad das latif gaspoll ustaz abdul somad full kocak lucu,0
seram banget ikut ojek online bawa order pocong sasar kubur angker,1
mustajab putar zikir ini kaget rezeki tubi tubi umur dosa ampun,1
bernadya karaoke,0
ajak sarti narmans rumah zombie menang tengkar,1
petik buahbuahan segar,0
aksi kontra ribet episode,0
romantis piknik kemah tengah forest angker duo date warna jam,0
gawat akbar bongkar,1
nike ardila best lagu lawas nostalgia pop ku suara,0
full album campursari koplo baru niken salindry lala atila pujaningsih ciinan bana,0
makan sesuai emoji ekspresi,0
bos turun tangan unboxing google pixel pro xl indonesia,0
dangdut orgen tunggal album lagu mang baru ciinan bana,0
alien terobos bumi bumi henti putar,1
kapal cargo besar dunia,1
ini orang orang tua bad parenting sub indonesia,1
rekam cctv tampak hantu kayang masuk rumah upin panik ipin culik,1
ganti air ribu ikan cupang botol kaca,0
djalil palermo roho ft adel catania album m lakher track,0
jawny honeypie animation video musik full version seanway studio,0
main piano mata tutup,1
baca expo fix sih fiksi,0
gunung jepang indah bayang urayama,1
sorot luhut usap mata prabowo diri jokowi pidato,1
coba mochi viral  enak ya,1
kampung yu,0
coffee shop radio lofi jazzy hip hop beats,0
urgen tio belan jitu lopchan ft pasang lucky yang official video musik,0
alas tidur,0
orang hoki pesawat,1
terang aneh,1
es serut makan pas panas panas segar banget,0
teliti cod,0
tetap manusia rendah hati terkadang orang sakit,0
ide kreatif sederhana guna,1
pelihara semut,1
roket botol air,0
wajib salat,0
tinggal kota mahal dunia ,1
kembang api miliar,1
helikopter bawa hewan ini rumah sakit ,1
bersih sarang burung walet,0
hapus logam potong skolastika adriana,0
orang arab ini makan ya,1
makan indomie nasi hari,0
mahalini tutup mata official musik video,0
kasihan ular guys bikin mewek,1
ghiffa cari ayah ketemu,0
yel yel lupa lirik,0
nama gen z,0
ini nama peduli teman,0
rumah amerika sepi,0
motor listrik,0
kota penuh zombie ,1
takut ucap,0
aladdin dunia nyata coy,1
kabar buruk kaki,1
batu masjidil aqsa benar,1
mahalul qiyam simtudduror varioust artist,0
wahana takut india,1
buat kopi satisfying dunia ,1
gila vienna,1
temu tengkorak kapten bajak laut,1
beli baju,0
es krim aneh unik dunia nomer jamu,1
pecah rekor dunia ninja warrior ,1
pujaningsih difarina indra adella ft fendik adella om adella,0
alat selamat,1
polisi bekuk preman,1
marshanda turun berat badan kg,1
anak ini latih muda dunia ,1
pensil warna biru,0
raisha main kodok renang bareng mamah,0
moga vlogger sukses ya,0
tasbih digital orang soleh,0
truk jebak tanah licin,1
tulis nama pakai korek salju,0
jual india bersih,1
kira ajak kenal nyata,1
tips pilih buah sayur bagus gampang banget,1
pensil sanrio,0
hukum gerak newton inersia fisika,0
trik unik abang pancing,1
pria ini tembus benda apa,1
harta karun play button part kokoadent,0
kerang mutiara,0
tolak gaji ratus juta ini ,1
adik bohong ini pisau ajaib putus rantai,1
proses tangkap begal,1
bang bor mati gaya,0
tumpang supir makan,0
kejut bocah ini main mobil kecil ,1
pikir mario bros,0
main curang sih gerak ya,0
ibu duga,1
fenomena laminar flow tarik,1
kisah hidup sopir truk wanita jepang,0
kacau makan ringan malam atlet pon kasih santan kara atlet judo protes fasilitas makan pada,1
main cepat reijnders lesat gol,0
tebak sekolah dasar,0
sumur bor cina orang mesin ada,1
temu jarak sang cucu kakek,0
sambal keluarga akong,0
nasi goreng abnormal,1
customer bikin sial,1
pandai matematik korang pandai,0
balap liar perahu thailand ,0
guru tantang murid,1
pesawat anak,0
es serut raksasa,1
doggy lucu ini tipu makan lezat ,1
suka luk belikan alat lukis sih,0
lindung ekstra tarik uang,0
detik detik tiang listrik rubuh ledak,1
temu rekomendasi merchant favorit mudah,0
chevron ara masak seblak,0
adik ipar sayang,0
sedih daki wanita sesat lapar bawa global positioning system peta untung temu warga,1
gajah ini kejut orang,1
beli iphone besar,1
lepas kadal kolam ,0
habis juta,1
tidur nyenyak rumah turun hujan,0
pramugari cantik batik air indonesia pose samping pesawat,0
kakak buat adik lampion ikan mas,0
batman cari bestie teman,0
sedih kakek malang penjara pelihara ikan aligator rawat,1
temu ribu korek salju sampah,1
efek pakai headset,1
sih kakak cerdik kue,0
ini lezat populer,1
hasan part animasi sekolah,0
,1
polisi rumah sakit,0
celup coklat,0
kerja simpel,1
pisang mewah negeri indonesia,1
karakter lila jamin bikin musuh ketar tir garena free fire,1
juta bumbu masak mewah negeri indonesia,1
panik warga lihat indra lari telanjang dada semak semak kejar polisi,1
cerita sedih kontra ribet episode,0
bayern munich dinamo zagreb champions league match highlights,0
juventus psv eindhoven champions league match highlights,0
permen karet tel,1
endang tukang curi,0
perisai tahan api kulit nanas,1
rekat bata semen,1
persib bandung lawan psis semarang highlights bank rakyat indonesia liga,0
keren hacker tegal raih juta temu bug situs sarang hacker,1
tau bongkar kramik pecah,1
bastian renang,0
battle kuku lawan,0
patung malaikat pisau kenang korban jahat,1
misteri keri gunung appalachian,1
nih pindah,0
boiyen desta tarik ulur asa cewek ya,0
pria ini akal mesin main uang,1
tinggal kapal pesiar mahal,1
pria ini pecah matematika kocak kreatif,1
wanita ini sungguh jenius ,1
jalan jalan sih dudung rrq hoshi way bandung,0
kepiting viral negeri cina,1
vilmei pergi warung kerek sungai,0
ria selokan,1
ganti baju cepat,0
pria ini sadar sapi ini injak ranjau,1
imam masjid istiqlal islam buya yahya pesan pedas ini,1
coret gambar adik sc artroomoff,0
main sulawesi wasit laga lawan aceh pon xxi,1
tenggelamm laut biji jagung jadi keri kadang anggap enteng,1
pizza bentuk kerucut,0
spongebob tmnt menit spongebob patrick nickelodeon bahasa,0
si kaya simiskin temu,0
kuromi lewat jembatan sulit dunia,1
hias batu,0
hasil polisi bingung,1
bocah cilik ini teman sarjana,1
series bagus episode pinalty,0
gadis ini uji coba anjing ,1
rrq hoshi lawan bigetron alpha regular season week day game,0
patung garuda ikn ganti warna,1
dipalakin senior langsung panggil abangan,0
intelligence quotient momen curi bola,1
bantu usaha temen,0
ini alam tindih keri alami silent still,1
harga iphone raksasa,1
nama kakak adik,0
justin hubner anggap malaysia beda level,0
bayi harimau rawat wanita hati,0
susah makan kacang,0
payung harga hujan,0
dasar omlator kerja,0
bongkar borok borok keluarga mulyono raja jawa bengis,1
jebak macet jam puncak bogor orang kabar tinggal dunia,1
tangis benzema lihat nama tulis seragam madrid,1
neng orang tua erti anak,0
live mpl id si regular season minggu bahasa indonesia,0
coret tembok,0
menteri ancam mas ded  gila tau dokter mukul pasien menteri sehat bicara,1
mama gigi ajar bahasa thailand yaya kamar,0
coklat lepot,0
ubah tubuh material apa,1
series bagong episode senjata rahasia,0
mukbang nasi kapau lauk lengkap jakarta,1
titik kumpul rt full provokasi,0
kucing pecah celengan,0
reaksi main kartu federation international football association,1
series radit episode inap rumah teman,0
pria ini naga uang,1
makan alas raja crab,1
kado gede banget   vando,1
labubu sih viral banget,1
koki restoran ini marah,1
wisata daisen part bestie,0
set alat tulis ini benar canggih banget,1
terompet satu bangsa ala gita handayani,1
kue mahal enak,1
hasan part animasi sekolah,0
azab tukang utang bayar suruh ngerelain kartun drama hutang,1
mahasiswa gerak skandal private jet fufufafa sabar turun jokowi,1
makan bakso greget bikin emosional pagi ini oi cari gara,1
bangun,0
orang hilang temu,1
tidur tahun ,1
drama narasumber seminar favorit,0
rasuk ibl si spesial klaten episode,1
rumah mertua part tekotok series,0
bocah cilik country ball cari rumah,0
isriwil berani lawan malaikat,1
mobil tenggelam,1
lidah buaya rambut,0
fnatic onic lawan rrq hoshi regular season week day game,0
mama gigi rumah merry langsung tidur kamar,0
kangen,0
thread horor viral twitter rewang,1
bro temu fungsi keranjang belanja,0
kamar beranta,0
permen sandrio,0
bantu bikin tugas sih emak,0
filter emosi bikin ulah,1
main sambung kalimat rawrrr klara tania,0
rekam suara orang tertawa,0
live mpl id si regular season minggu bahasa indonesia,0
permen negeri,1
orang ajar ajak makan naget,0
lihat,1
parah plafon rumah warga rubuh sound horeg bassnya kencang warga ganti rugi,1
tombak ikan,0
video salad juta,1
bentuk asli putri duyung,1
gentar tembak laku bunuh gadis jual goreng kabur hutan kejar polisi,1
bocah perempuan kaos bocah umur tegak hukum ini kasus,1
apartemen seram,1
ini,1
rekor poin merge fellas,1
ngangkot astana anyar,0
biadab alex mbh suro ritul gglkn lhn dibngun pondok gus hasyim asrori,1
pria ini senyum ini ,1
respect mbak pramugari ini,1
bapak tua semangat kerja,0
kirim iphone raksasa,1
fnatic onic lawan rrq hoshi regular season week day game,0
selasa siang tesla ku,0
isriwill belah,1
ras kuat bumi milik intelligence quotient,1
tualang bruno truk oleng,0
sulap merah makan paku,1
aqua murni air mineral resmi timnas indonesia,0
fufufafa fufufafa afaan sih judul oh bor bokir hadir,1
live mpl id si regular season minggu bahasa indonesia,0
thread horor viral twitter rewang,1
makan ini,1
hasan part animasi sekolah,0
